Municipality,Composition of Solid Waste,Percent Value
Lalitpur SMPC,Plastics,9.81
Lalitpur SMPC,Paper and PaperProducts,5.23
Lalitpur SMPC,Glass,1.99
Lalitpur SMPC,Metals,0.66
Lalitpur SMPC,Textiles,0.74
Lalitpur SMPC,Rubber and Leather,0.75
Lalitpur SMPC,Others,2.86
Lekhnath,Organic Waste,59.8
Lekhnath,Plastics,9.12
Lekhnath,Paper and PaperProducts,10.63
Lekhnath,Glass,10.13
Lekhnath,Metals,1.73
Lekhnath,Textiles,0
Lekhnath,Rubber and Leather,0
Lekhnath,Others,8.59
Madhyapur Thimi,Organic Waste,48.86
Madhyapur Thimi,Plastics,12.78
Madhyapur Thimi,Paper and PaperProducts,9.83
Madhyapur Thimi,Glass,1.98
Madhyapur Thimi,Metals,0.03
Madhyapur Thimi,Textiles,0
Madhyapur Thimi,Rubber and Leather,1.74
Madhyapur Thimi,Others,24.78
Malangawa,Organic Waste,60.45
Malangawa,Plastics,6.63
Malangawa,Paper and PaperProducts,5.63
Malangawa,Glass,4.44
Malangawa,Metals,2.61
Malangawa,Textiles,4.64
Malangawa,Rubber and Leather,2.14
Malangawa,Others,13.46
Mechinagar,Organic Waste,70.19
Mechinagar,Plastics,12.87
Mechinagar,Paper and PaperProducts,11.93
Mechinagar,Glass,0.92
Mechinagar,Metals,1.73
Mechinagar,Textiles,0
Mechinagar,Rubber and Leather,0.86
Mechinagar,Others,1.5
Narayan,Organic Waste,84.62
Narayan,Plastics,6.95
Narayan,Paper and PaperProducts,5.83
Narayan,Glass,0
Narayan,Metals,0.71
Narayan,Textiles,0.76
Narayan,Rubber and Leather,1.13
Narayan,Others,0
Nepalgunj,Organic Waste,76.27
Nepalgunj,Plastics,12.75
Nepalgunj,Paper and PaperProducts,6.94
Nepalgunj,Glass,0.09
Nepalgunj,Metals,0.84
Nepalgunj,Textiles,1.91
Nepalgunj,Rubber and Leather,0.52
Nepalgunj,Others,0.67
Panauti,Organic Waste,82.95
Panauti,Plastics,7.82
Panauti,Paper and PaperProducts,5.06
Panauti,Glass,0
Panauti,Metals,0
Panauti,Textiles,1.78
Panauti,Rubber and Leather,0.47
Panauti,Others,1.93
Pokhara SMPC,Organic Waste,62.65
Pokhara SMPC,Plastics,8.8
Pokhara SMPC,Paper and PaperProducts,11.61
Pokhara SMPC,Glass,4.54
Pokhara SMPC,Metals,5.74
Pokhara SMPC,Textiles,2.21
Pokhara SMPC,Rubber and Leather,2.82
Pokhara SMPC,Others,1.63
Putalibazar,Organic Waste,71.84
Putalibazar,Plastics,8.69
Putalibazar,Paper and PaperProducts,3.86
Putalibazar,Glass,11.82
Putalibazar,Metals,0
Putalibazar,Textiles,0.23
Putalibazar,Rubber and Leather,0
Putalibazar,Others,3.57
Rajbiraj,Organic Waste,80.04
Rajbiraj,Plastics,8.02
Rajbiraj,Paper and PaperProducts,3.93
Rajbiraj,Glass,1.27
Rajbiraj,Metals,0.95
Rajbiraj,Textiles,2.4
Rajbiraj,Rubber and Leather,0.11
Rajbiraj,Others,3.29
Ramgram,Organic Waste,51.06
Ramgram,Plastics,7.83
Ramgram,Paper and PaperProducts,15.34
Ramgram,Glass,0.1
Ramgram,Metals,0.28
Ramgram,Textiles,3.33
Ramgram,Rubber and Leather,0.52
Ramgram,Others,21.54
Ratnanagar,Organic Waste,74
Ratnanagar,Plastics,20
Ratnanagar,Paper and PaperProducts,2
Ratnanagar,Glass,1
Ratnanagar,Metals,0.67
Ratnanagar,Textiles,1
Ratnanagar,Rubber and Leather,0.33
Ratnanagar,Others,1
Siddharthanagar,Organic Waste,64.15
Siddharthanagar,Plastics,16.54
Siddharthanagar,Paper and PaperProducts,15.22
Siddharthanagar,Glass,2.09
Siddharthanagar,Metals,1.99
Siddharthanagar,Textiles,0
Siddharthanagar,Rubber and Leather,0
Siddharthanagar,Others,0
Siraha,Organic Waste,67.78
Siraha,Plastics,3.58
Siraha,Paper and PaperProducts,6.01
Siraha,Glass,0.34
Siraha,Metals,1.59
Siraha,Textiles,1.48
Siraha,Rubber and Leather,4.31
Siraha,Others,14.91
Tansen,Organic Waste,44.18
Tansen,Plastics,10.25
Tansen,Paper and PaperProducts,10.11
Tansen,Glass,6.4
Tansen,Metals,5.06
Tansen,Textiles,3.86
Tansen,Rubber and Leather,3.63
Tansen,Others,16.52
Tikapur,Organic Waste,61.77
Tikapur,Plastics,9.1
Tikapur,Paper and PaperProducts,12.87
Tikapur,Glass,3.64
Tikapur,Metals,6.26
Tikapur,Textiles,6.36
Tikapur,Rubber and Leather,0
Tikapur,Others,0
Triyuga,Organic Waste,55.55
Triyuga,Plastics,4.75
Triyuga,Paper and PaperProducts,18.25
Triyuga,Glass,0.5
Triyuga,Metals,3.81
Triyuga,Textiles,2.75
Triyuga,Rubber and Leather,2.13
Triyuga,Others,12.26
Tulsipur,Organic Waste,85.87
Tulsipur,Plastics,4.77
Tulsipur,Paper and PaperProducts,6.38
Tulsipur,Glass,2.65
Tulsipur,Metals,0.33
Tulsipur,Textiles,0
Tulsipur,Rubber and Leather,0
Tulsipur,Others,0
Waling,Organic Waste,47.24
Waling,Plastics,11.28
Waling,Paper and PaperProducts,10.53
Waling,Glass,5.14
Waling,Metals,2.61
Waling,Textiles,4.33
Waling,Rubber and Leather,0
Waling,Others,18.87
,Organic Waste,66.37
,Plastics,11.97
,Paper and PaperProducts,8.95
,Glass,3.07
,Metals,1.88
,Textiles,2.22
,Rubber and Leather,1.07
,Others,4.48
Average composition,,
